	Aplysia_californica	Arctic_surfclam	Bay_scallop	Black_lip_rock_oyster	Blue_mussel	California_two_spot_octopus	Chinese_camelback_chiton	Common_water_flea	Dreissena_polymorpha	Eastern_oyster	Greenland_cockle	Manila_clam	Mediterranean_mussel	Northern_propeller_clam	Northern_quahog	Pictodentalium_vernedei	Potamilus_streckersoni	Rough_periwinkle	Sinanodonta_woodiana	Siphonodentalium_dalli	Soft_shell_clam	Yesso_scallop
'6	0.2	0.1	0.4	0.3	0.6	0.2	0.2	0.2	0.5	0.6	0.1	0.5	0.4	0.4	0.6	0.3	0.3	0.4	0.5	0.2	0.7	0.4
'7	0.2	0.0	0.3	0.2	0.4	0.1	0.1	0.1	0.4	0.4	0.1	0.4	0.3	0.2	0.4	0.2	0.2	0.2	0.4	0.2	0.4	0.2
'8	0.1	0.0	0.2	0.1	0.3	0.1	0.1	0.1	0.3	0.3	0.0	0.3	0.2	0.1	0.3	0.1	0.1	0.2	0.3	0.1	0.3	0.2
'9	0.1	0.0	0.2	0.1	0.3	0.1	0.1	0.1	0.3	0.2	0.0	0.2	0.2	0.1	0.3	0.1	0.1	0.2	0.2	0.1	0.3	0.1
'10	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.0	0.2	0.1	0.1	0.2	0.1	0.1	0.1	0.2	0.1	0.2	0.1
11-15	0.1	0.0	0.3	0.3	0.5	0.1	0.1	0.2	0.6	0.4	0.1	0.5	0.3	0.2	0.5	0.2	0.3	0.3	0.5	0.2	0.6	0.2
16-20	0.0	0.0	0.2	0.1	0.3	0.1	0.0	0.1	0.3	0.2	0.0	0.3	0.1	0.1	0.3	0.1	0.1	0.2	0.3	0.1	0.2	0.1
21-50	0.1	0.0	0.2	0.2	0.4	0.1	0.0	0.1	0.4	0.3	0.0	0.4	0.1	0.2	0.4	0.1	0.1	0.3	0.4	0.3	0.4	0.1
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	8156	8008	9213	9983	10163	7394	8435	5191	7495	7706	6004	8827	11093	7245	9384	7783	10025	8175	10034	7451	7809	9517
'2	3998	1606	4888	4818	6210	3050	3122	2786	6112	7190	5246	7142	4638	7576	5834	6058	5174	4638	4898	3364	6326	4792
'3	1917	648	2685	2193	3774	1419	1662	1629	3447	3198	1446	3840	2607	3339	3489	2811	2721	2772	2298	1470	3009	2439
'4	1208	416	2060	1484	2792	1096	944	1000	2444	2568	724	2728	1828	1972	2700	1568	1828	1824	1784	988	2388	1788
'5	825	265	1505	1030	1960	695	645	655	2040	1785	510	2005	1210	1275	1915	1035	1210	1270	1320	735	1785	1150
'6	498	186	1170	828	1668	492	444	516	1464	1584	330	1458	948	954	1524	786	846	1050	1230	636	1752	960
'7	518	133	882	707	1393	448	287	378	1239	1197	329	1372	805	567	1302	476	742	693	1190	595	1316	770
'8	312	80	712	472	1080	352	344	392	1160	928	136	968	728	504	1080	456	480	736	920	392	1032	552
'9	216	117	603	468	1044	261	243	288	1089	837	153	981	612	522	1035	378	486	603	873	513	1089	576
'10	210	40	460	420	660	240	280	240	740	780	100	830	490	490	810	350	440	450	800	400	790	520
11-15	788	150	1864	1649	2720	642	692	922	3357	2252	358	2878	1728	1104	2849	1179	1440	1879	2975	1282	3109	1266
16-20	271	171	1267	791	2259	451	229	552	1997	1444	51	2230	892	854	2372	828	871	1313	2175	1036	1819	703
21-50	692	228	2376	2038	4895	719	579	1732	4955	3607	219	5565	1899	2002	5133	1292	1609	3775	5247	4087	4502	1666
51-100	322	0	367	1010	1319	470	98	197	2715	2023	0	1452	283	1530	1371	173	113	1499	1316	1972	1612	279
101-150	0	0	0	707	364	237	0	242	349	216	0	377	129	1156	285	0	0	0	224	1228	699	0
151-200	0	0	151	0	350	0	0	0	189	0	0	178	0	198	325	0	0	195	157	505	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	790	208	0	0	0	210	913	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	37.3	64.6	29.1	33.8	22.9	38.7	43.9	29.0	17.6	20.2	37.2	20.0	36.4	17.9	21.8	24.2	27.1	24.8	23.5	23.7	19.1	33.3
'2	18.3	13.0	15.4	16.3	14.0	16.0	16.3	15.6	14.4	18.8	32.5	16.2	15.2	18.7	13.6	18.8	14.0	14.1	11.5	10.7	15.5	16.8
'3	8.8	5.2	8.5	7.4	8.5	7.4	8.7	9.1	8.1	8.4	9.0	8.7	8.6	8.2	8.1	8.7	7.4	8.4	5.4	4.7	7.4	8.5
'4	5.5	3.4	6.5	5.0	6.3	5.7	4.9	5.6	5.7	6.7	4.5	6.2	6.0	4.9	6.3	4.9	4.9	5.5	4.2	3.1	5.8	6.3
'5	3.8	2.1	4.7	3.5	4.4	3.6	3.4	3.7	4.8	4.7	3.2	4.5	4.0	3.1	4.4	3.2	3.3	3.9	3.1	2.3	4.4	4.0
'6	2.3	1.5	3.7	2.8	3.8	2.6	2.3	2.9	3.4	4.1	2.0	3.3	3.1	2.4	3.5	2.4	2.3	3.2	2.9	2.0	4.3	3.4
'7	2.4	1.1	2.8	2.4	3.1	2.3	1.5	2.1	2.9	3.1	2.0	3.1	2.6	1.4	3.0	1.5	2.0	2.1	2.8	1.9	3.2	2.7
'8	1.4	0.6	2.2	1.6	2.4	1.8	1.8	2.2	2.7	2.4	0.8	2.2	2.4	1.2	2.5	1.4	1.3	2.2	2.2	1.2	2.5	1.9
'9	1.0	0.9	1.9	1.6	2.4	1.4	1.3	1.6	2.6	2.2	0.9	2.2	2.0	1.3	2.4	1.2	1.3	1.8	2.0	1.6	2.7	2.0
'10	1.0	0.3	1.5	1.4	1.5	1.3	1.5	1.3	1.7	2.0	0.6	1.9	1.6	1.2	1.9	1.1	1.2	1.4	1.9	1.3	1.9	1.8
11-15	3.6	1.2	5.9	5.6	6.1	3.4	3.6	5.1	7.9	5.9	2.2	6.5	5.7	2.7	6.6	3.7	3.9	5.7	7.0	4.1	7.6	4.4
16-20	1.2	1.4	4.0	2.7	5.1	2.4	1.2	3.1	4.7	3.8	0.3	5.1	2.9	2.1	5.5	2.6	2.4	4.0	5.1	3.3	4.5	2.5
21-50	3.2	1.8	7.5	6.9	11.0	3.8	3.0	9.7	11.7	9.4	1.4	12.6	6.2	4.9	11.9	4.0	4.3	11.5	12.3	13.0	11.0	5.8
51-100	1.5	0.0	1.2	3.4	3.0	2.5	0.5	1.1	6.4	5.3	0.0	3.3	0.9	3.8	3.2	0.5	0.3	4.6	3.1	6.3	3.9	1.0
101-150	0.0	0.0	0.0	2.4	0.8	1.2	0.0	1.4	0.8	0.6	0.0	0.9	0.4	2.8	0.7	0.0	0.0	0.0	0.5	3.9	1.7	0.0
151-200	0.0	0.0	0.5	0.0	0.8	0.0	0.0	0.0	0.4	0.0	0.0	0.4	0.0	0.5	0.8	0.0	0.0	0.6	0.4	1.6	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.5	0.0	0.0	0.0	0.5	2.9	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
